530,AROFERCON,,7.50305E+12,AROMATIZANTE TIPO FERRARY CONCENTARDO,,0,49,0,0,17,21,21,,,,0,,36,100,0,1.99,33,99,2,5.99,32.2,98,6,9.99,31.13,97,10,100000,30.1,96,0,0,30.1,95,0,0,33,94,0,0,30.1,93,0,0,30.1,92,0,0,27.3,99,0,0,,,,,,IVA,False,False,False,6
2,AROFRECON,,7.50305E+12,AROMATIZANTE TIPO CHICA FRESITA CONCENTRADO,,0,49,0,0,16,16.7,13.45,,,,0,,33,137.03,0,1.99,30,114.81,2,5.99,28.62,85.18,6,9.99,27.09,62.96,10,100000,26.39,0,0,0,26.39,0,0,0,30,0,0,0,26.39,0,0,0,26.39,0,0,0,22.29,114.81,0,0,,MN,QUIMICOS,AROMAS,,IVA,False,False,False,6
562,AROGLABOS2,,7.50305E+12,AROMA TIPO GLADE BOSQUES,,0,49,0,0,18,14.74,14.74,,,,0,,33,100,0,1.99,30,99,2,5.99,28.62,98,6,11.99,27.09,97,12,100000,26.39,96,0,0,26.39,95,0,0,30,94,0,0,26.39,93,0,0,26.39,92,0,0,22.29,91,0,0,,MN,QUIMICOS,AROMAS,,IVA,False,False,False,6
561,AROGLACAS2,,7.50305E+12,AROMA TIPO GLADE CASCADAS,,0,49,0,0,18,14.97,14.97,,,,0,,33,100,0,1.99,30,99,2,5.99,28.62,98,6,11.99,27.09,97,12,100000,26.39,96,0,0,26.39,95,0,0,30,94,0,0,26.39,93,0,0,26.39,92,0,0,22.29,91,0,0,,MN,QUIMICOS,AROMAS,,IVA,False,False,False,6
532,AROHUGCON,,7.50305E+12,AROMATIZANTE TIPO HUGO CONCETRADO,,0,49,0,0,19,19,19,,,,0,,33,100,0,1.99,30,99,2,5.99,28.62,98,6,9.99,27.09,97,10,100000,26.39,96,0,0,26.39,95,0,0,30,94,0,0,26.39,93,0,0,26.39,92,0,0,22.29,99,0,0,,,,,,IVA,False,False,False,6
9,AROPOLCON,,AROPOLCON,AROMATIZANTE TIPO POLO CONCENTRADO,,0,49,0,0,23,15.23,22.48,,,,0,,33,137.03,0,1.99,30,114.81,2,5.99,28.62,85.18,6,9.99,27.09,62.96,10,100000,26.39,0,0,0,26.39,0,0,0,30,0,0,0,26.39,0,0,0,26.39,0,0,0,22.29,114.81,0,0,,MN,QUIMICOS,AROMAS,,IVA,False,False,False,6
11,AROVAICON,,AROVAICON,AROMATIZANTE TIPO VAINILLA CONCENTRADO,,0,49,0,0,24,13.5,0,,,,0,,45,137.03,0,1.99,42,114.81,2,5.99,38.9,85.18,6,9.99,37.1,62.96,10,100000,35.38,0,0,0,35.38,0,0,0,42,0,0,0,35.38,0,0,0,35.38,0,0,0,33.5,114.81,0,0,,MN,QUIMICOS,AROMAS,,IVA,False,False,False,6
612,ATOCAMP,CAMPANA,ATOCAMP,ATOMIZADOR MINI CAMPANA,,0,108,0,0,6.7,6.1,6.1,,,,0,,20,100,0,1.99,17.5,99,2,5.99,16.43,98,6,11.99,15.1,97,12,100000,14.65,96,0,0,14.65,95,0,0,17.5,94,0,0,14.65,93,0,0,14.65,92,0,0,12.3,91,0,0,,ATO,PLASTICOS,ATOMIZADORES,,IVA,False,False,False,12
334,ATOCH,DECORADA DE 1/4,ATOCH,ATOMIZADOR CHICO,,0,108,0,0,5.4,5.2,5.2,,,,0,,20,100,0,1.99,17.5,99,2,5.99,15.99,98,6,11.99,13.89,97,12,100000,13.89,96,0,0,13.89,95,0,0,17.5,94,0,0,13.89,93,0,0,13.89,92,0,0,12.3,99,0,0,,,,,,IVA,False,False,False,25
768,ATODOS,VALVULA DOSIFICADORA 28410,ATODOS,ATOMIZADOR DOSIFICADOR,,0,108,0,0,2.5,0,0,,,,0,,0,100,0,0,0,99,0,0,0,98,0,0,0,97,0,0,0,96,0,0,0,95,0,0,0,94,0,0,0,93,0,0,0,92,0,0,0,91,0,0,,,,,,,False,False,False,
